Arcane Aura Helmet=Aura Trinity Helmet
Arcane Aurora Helmet=Aurora Frost Helmet
Arcane Avalon Helmet=Avalon Excalibur Helmet
Arcane Backdraft Helmet=Backdraft Ember Helmet
Arcane Chlora Helmet=Chlora Saryn Helmet
Arcane Chorus Helmet=Chorus Banshee Helmet
Arcane Coil Helmet=Coil Mag Helmet
Arcane Esprit Helmet=Esprit Vauban Helmet
Arcane Essence Helmet=Essence Loki Helmet
Arcane Flux Helmet=Flux Nova Helmet
Arcane Gambit Helmet=Gambit Vauban Helmet
Arcane Gauss Helmet=Gauss Mag Helmet
Arcane Hemlock Helmet=Hemlock Saryn Helmet
Arcane Locust Helmet=Locust Ash Helmet
Arcane Menticide Helmet=Menticide Nyx Helmet
Arcane Meridian Helmet=Meridian Trinity Helmet
Arcane Pendragon Helmet=Pendragon Excalibur Helmet
Arcane Phoenix Helmet=Phoenix Ember Helmet
Arcane Pulse Helmet=Pulse Volt Helmet
Arcane Reverb Helmet=Reverb Banshee Helmet
Arcane Scorpion Helmet=Scorpion Ash Helmet
Arcane Squall Helmet=Squall Frost Helmet
Arcane Storm Helmet=Storm Volt Helmet
Arcane Swindle Helmet=Swindle Loki Helmet
Arcane Thrak Helmet=Thrak Rhino Helmet
Arcane Vanguard Helmet=Vanguard Rhino Helmet
Arcane Vespa Helmet=Vespa Nyx Helmet
