Arcane Aura Helmet=Aura Trinity Helmet
Arcane Aurora Helmet=Aurora Frost Helmet
Arcane Avalon Helmet=Avalon Excalibur Helmet
Arcane Backdraft Helmet=Backdraft Ember Helmet
Arcane Chlora Helmet=Chlora Saryn Helmet
Arcane Chorus Helmet=Chorus Banshee Helmet
Arcane Coil Helmet=Coil Mag Helmet
Arcane Esprit Helmet=Esprit Vauban Helmet
Arcane Essence Helmet=Essence Loki Helmet
Arcane Flux Helmet=Flux Nova Helmet
Arcane Gambit Helmet=Gambit Vauban Helmet
Arcane Gauss Helmet=Gauss Mag Helmet
Arcane Hemlock Helmet=Hemlock Saryn Helmet
Arcane Locust Helmet=Locust Ash Helmet
Arcane Menticide Helmet=Menticide Nyx Helmet
Arcane Meridian Helmet=Meridian Trinity Helmet
Arcane Pendragon Helmet=Pendragon Excalibur Helmet
Arcane Phoenix Helmet=Phoenix Ember Helmet
Arcane Pulse Helmet=Pulse Volt Helmet
Arcane Reverb Helmet=Reverb Banshee Helmet
Arcane Scorpion Helmet=Scorpion Ash Helmet
Arcane Squall Helmet=Squall Frost Helmet
Arcane Storm Helmet=Storm Volt Helmet
Arcane Swindle Helmet=Swindle Loki Helmet
Arcane Thrak Helmet=Thrak Rhino Helmet
Arcane Vanguard Helmet=Vanguard Rhino Helmet
Arcane Vespa Helmet=Vespa Nyx Helmet
InfestedAladCoordinate=Mutalist Alad V Nav Coordinate
Tower Ii Capture=Tower II Capture
Tower Iii Capture=Tower III Capture
Tower Iv Capture=Tower IV Capture
Tower Ii Defense=Tower II Defense
Tower Iii Defense=Tower III Defense
Tower Iv Defense=Tower IV Defense
Tower Ii Exterminate=Tower II Exterminate
Tower Iii Exterminate=Tower III Exterminate
Tower Iv Exterminate=Tower IV Exterminate
Tower Iv Interception=Tower IV Interception
Tower Ii Mobile Defense=Tower II Mobile Defense
Tower Iii Mobile Defense=Tower III Mobile Defense
Tower Iv Mobile Defense=Tower IV Mobile Defense
Tower Ii Sabotage=Tower II Sabotage
Tower Iii Sabotage=Tower III Sabotage
Tower Iv Sabotage=Tower IV Sabotage
Tower Ii Survival=Tower II Survival
Tower Iii Survival=Tower III Survival
Tower Iv Survival=Tower IV Survival
Fusion Core=R5 Fusion Core
AnimaAltHelmetBlueprint=Equinox Solstice Helmet
Ash Scorpion Helmet=Scorpion Ash Helmet
Ash Locust Helmet=Locust Ash Helmet
Atlas Tartarus Helmet=Tartarus Atlas Helmet
Banshee Reverb Helmet=Reverb Banshee Helmet
Banshee Chorus Helmet=Chorus Banshee Helmet
Chroma Drac Helmet=Drac Chroma Helmet
Chroma Amaru Helmet=Amaru Chroma Helmet
